C-ALTER5-0;en_name
ALTER5-1;Up to 4 years old
ALTER5-10;45 to 49 years old
ALTER5-11;50 to 54 years old
ALTER5-12;55 to 59 years old
ALTER5-13;60 to 64 years old
ALTER5-14;65 to 69 years old
ALTER5-15;70 to 74 years old
ALTER5-16;75 to 79 years old
ALTER5-17;80 to 84 years old
ALTER5-18;85 to 89 years old
ALTER5-19;90 to 94 years old
ALTER5-2;5 to 9 years old
ALTER5-20;95 plus years old
ALTER5-3;10 to 14 years old
ALTER5-4;15 to 19 years old
ALTER5-5;20 to 24 years old
ALTER5-6;25 to 29 years old
ALTER5-7;30 to 34 years old
ALTER5-8;35 to 39 years old
ALTER5-9;40 to 44 years old
