C-KALWOCHE-0;en_name
KALW-200001;1. Calendar week 2000 (week from 3.1.2000 to 9.1.2000)
KALW-200002;2. Calendar week 2000 (week from 10.1.2000 to 16.1.2000)
KALW-200003;3. Calendar week 2000 (week from 17.1.2000 to 23.1.2000)
KALW-200004;4. Calendar week 2000 (week from 24.1.2000 to 30.1.2000)
KALW-200005;5. Calendar week 2000 (week from 31.1.2000 to 6.2.2000)
KALW-200006;6. Calendar week 2000 (week from 7.2.2000 to 13.2.2000)
KALW-200007;7. Calendar week 2000 (week from 14.2.2000 to 20.2.2000)
KALW-200008;8. Calendar week 2000 (week from 21.2.2000 to 27.2.2000)
KALW-200009;9. Calendar week 2000 (week from 28.2.2000 to 5.3.2000)
KALW-200010;10. Calendar week 2000 (week from 6.3.2000 to 12.3.2000)
KALW-200011;11. Calendar week 2000 (week from 13.3.2000 to 19.3.2000)
KALW-200012;12. Calendar week 2000 (week from 20.3.2000 to 26.3.2000)
KALW-200013;13. Calendar week 2000 (week from 27.3.2000 to 2.4.2000)
KALW-200014;14. Calendar week 2000 (week from 3.4.2000 to 9.4.2000)
KALW-200015;15. Calendar week 2000 (week from 10.4.2000 to 16.4.2000)
KALW-200016;16. Calendar week 2000 (week from 17.4.2000 to 23.4.2000)
KALW-200017;17. Calendar week 2000 (week from 24.4.2000 to 30.4.2000)
KALW-200018;18. Calendar week 2000 (week from 1.5.2000 to 7.5.2000)
KALW-200019;19. Calendar week 2000 (week from 8.5.2000 to 14.5.2000)
KALW-200020;20. Calendar week 2000 (week from 15.5.2000 to 21.5.2000)
KALW-200021;21. Calendar week 2000 (week from 22.5.2000 to 28.5.2000)
KALW-200022;22. Calendar week 2000 (week from 29.5.2000 to 4.6.2000)
KALW-200023;23. Calendar week 2000 (week from 5.6.2000 to 11.6.2000)
KALW-200024;24. Calendar week 2000 (week from 12.6.2000 to 18.6.2000)
KALW-200025;25. Calendar week 2000 (week from 19.6.2000 to 25.6.2000)
KALW-200026;26. Calendar week 2000 (week from 26.6.2000 to 2.7.2000)
KALW-200027;27. Calendar week 2000 (week from 3.7.2000 to 9.7.2000)
KALW-200028;28. Calendar week 2000 (week from 10.7.2000 to 16.7.2000)
KALW-200029;29. Calendar week 2000 (week from 17.7.2000 to 23.7.2000)
KALW-200030;30. Calendar week 2000 (week from 24.7.2000 to 30.7.2000)
KALW-200031;31. Calendar week 2000 (week from 31.7.2000 to 6.8.2000)
KALW-200032;32. Calendar week 2000 (week from 7.8.2000 to 13.8.2000)
KALW-200033;33. Calendar week 2000 (week from 14.8.2000 to 20.8.2000)
KALW-200034;34. Calendar week 2000 (week from 21.8.2000 to 27.8.2000)
KALW-200035;35. Calendar week 2000 (week from 28.8.2000 to 3.9.2000)
KALW-200036;36. Calendar week 2000 (week from 4.9.2000 to 10.9.2000)
KALW-200037;37. Calendar week 2000 (week from 11.9.2000 to 17.9.2000)
KALW-200038;38. Calendar week 2000 (week from 18.9.2000 to 24.9.2000)
KALW-200039;39. Calendar week 2000 (week from 25.9.2000 to 1.10.2000)
KALW-200040;40. Calendar week 2000 (week from 2.10.2000 to 8.10.2000)
KALW-200041;41. Calendar week 2000 (week from 9.10.2000 to 15.10.2000)
KALW-200042;42. Calendar week 2000 (week from 16.10.2000 to 22.10.2000)
KALW-200043;43. Calendar week 2000 (week from 23.10.2000 to 29.10.2000)
KALW-200044;44. Calendar week 2000 (week from 30.10.2000 to 5.11.2000)
KALW-200045;45. Calendar week 2000 (week from 6.11.2000 to 12.11.2000)
KALW-200046;46. Calendar week 2000 (week from 13.11.2000 to 19.11.2000)
KALW-200047;47. Calendar week 2000 (week from 20.11.2000 to 26.11.2000)
KALW-200048;48. Calendar week 2000 (week from 27.11.2000 to 3.12.2000)
